Type,H2O,C,S,Fe2O3,CaO,SiO2,MgO,Al2O3
BLS-37,0.31,0.35,0,0.05,0.02,0.15,0.01,0.1
BZ-11,0.1,0.51,0,0.06,0.03,0.17,0.02,0.11
BZ-11C,0.12,0.5,0,0.06,0.07,0.14,0.01,0.1
Coque,0.02,0.85,0.01,0.01,0,0.08,0,0.03
