Time,CO2,CO,O2,H2,N2
25/10/18 16:00,0.089294157,0.294279484,0.004486344,0.023471787,0.588468229
25/10/18 17:00,0.089299826,0.295199909,0.004553041,0.022515998,0.588431225
25/10/18 18:00,0.088419574,0.292638589,0.004462128,0.024777454,0.589702255
25/10/18 19:00,0.089796088,0.292687404,0.00453996,0.023318974,0.589657574
25/10/18 20:00,0.088724472,0.289473347,0.004473173,0.024801902,0.592527106
25/10/18 21:00,0.090590921,0.293271598,0.004545761,0.024605744,0.586985976
25/10/18 22:00,0.088478917,0.291935189,0.004448227,0.024556487,0.590581179
25/10/18 23:00,0.088719427,0.291741212,0.004520208,0.024332223,0.59068693
26/10/18 00:00,0.089725133,0.291727536,0.004417168,0.023466608,0.590663555
26/10/18 01:00,0.091535437,0.291175315,0.004522781,0.022922698,0.58984377
26/10/18 02:00,0.089726101,0.292608521,0.004463996,0.023210932,0.589990449
26/10/18 03:00,0.088377199,0.297836506,0.004558886,0.022097796,0.587129612
26/10/18 04:00,0.089052641,0.291811106,0.004437296,0.023829539,0.590869418
26/10/18 05:00,0.091199469,0.290386464,0.00449869,0.02281689,0.591098487
26/10/18 06:00,0.08693493,0.290302331,0.004449885,0.024070578,0.594242276
26/10/18 07:00,0.085553645,0.29390156,0.004567047,0.023016082,0.592961666
26/10/18 08:00,0.085531411,0.297879639,0.004491169,0.02266281,0.589434971
26/10/18 09:00,0.084508229,0.298410392,0.004598596,0.023372348,0.589110435
26/10/18 10:00,0.085267499,0.296218489,0.004555299,0.02332959,0.590629123
26/10/18 11:00,0.087064141,0.29788914,0.004626251,0.02377403,0.586646438
26/10/18 12:00,0.087456843,0.294269859,0.00458535,0.024034976,0.589652972
26/10/18 13:00,0.084555561,0.302019796,0.004684539,0.023904167,0.584835937
26/10/18 14:00,0.087700058,0.295125248,0.004621782,0.023965343,0.58858757
26/10/18 15:00,0.090716245,0.297619913,0.004670853,0.023278059,0.583714929
26/10/18 16:00,0.09096424,0.295964567,0.004592419,0.023271581,0.585207193
26/10/18 17:00,0.089822044,0.298093965,0.004652219,0.023253621,0.584178151
26/10/18 18:00,0.088824366,0.298895509,0.004533332,0.023012835,0.584733958
26/10/18 19:00,0.087474312,0.300400979,0.004614784,0.022125227,0.585384698
26/10/18 20:00,0.086205362,0.294907165,0.004525202,0.02308249,0.591279782
26/10/18 21:00,0.091824607,0.293927542,0.004582829,0.021087467,0.588577555
26/10/18 22:00,0.09188031,0.29298335,0.004468617,0.021588524,0.589079198
26/10/18 23:00,0.092082782,0.295358725,0.004551585,0.022096789,0.58591012
27/10/18 00:00,0.090373512,0.289509904,0.004491556,0.023691285,0.591933743
27/10/18 01:00,0.08766779,0.293574232,0.004592082,0.021772525,0.592393371
27/10/18 02:00,0.086887213,0.296724073,0.004544,0.021935974,0.58990874
27/10/18 03:00,0.090024518,0.295265652,0.004623397,0.021469198,0.588617234
27/10/18 04:00,0.093340352,0.290574538,0.004535055,0.021425647,0.590124407
27/10/18 05:00,0.086317232,0.298754847,0.004666353,0.022423949,0.58783762
27/10/18 06:00,0.086453049,0.298998703,0.004570707,0.022479654,0.587497887
27/10/18 07:00,0.088782921,0.298154494,0.004654841,0.022144663,0.58626308
27/10/18 08:00,0.088410249,0.294248408,0.004606555,0.021843068,0.59089172
27/10/18 09:00,0.088638072,0.299436507,0.004723275,0.020962995,0.586239151
27/10/18 10:00,0.096594709,0.297745056,0.004644102,0.018663837,0.582352296
27/10/18 11:00,0.089802218,0.29386183,0.004772088,0.023360318,0.588203545
27/10/18 12:00,0.088414764,0.295963801,0.00475599,0.021546371,0.589319075
27/10/18 13:00,0.086382284,0.301331444,0.004821638,0.021936275,0.585528358
27/10/18 14:00,0.085219844,0.299015233,0.004776457,0.022760257,0.58822821
27/10/18 15:00,0.087220384,0.302256099,0.004827506,0.022361292,0.583334719
27/10/18 16:00,0.088356396,0.297334801,0.004764593,0.022721867,0.586822343
27/10/18 17:00,0.089166181,0.302796795,0.004785285,0.021870788,0.581380952
27/10/18 18:00,0.089881804,0.298328719,0.004678441,0.02121073,0.585900305
27/10/18 19:00,0.091964308,0.300940668,0.004709874,0.020308892,0.582076257
27/10/18 20:00,0.100794429,0.297591421,0.004579422,0.019238772,0.577795956
27/10/18 21:00,0.098611024,0.294593162,0.004623944,0.020656636,0.581515234
27/10/18 22:00,0.098574596,0.289092487,0.00453197,0.021012797,0.586788151
27/10/18 23:00,0.097469654,0.295756739,0.004615281,0.020166334,0.581991992
28/10/18 00:00,0.100371644,0.291106519,0.004471786,0.019940537,0.584109514
28/10/18 01:00,0.098778391,0.287569866,0.004584114,0.021522581,0.587545049
28/10/18 02:00,0.098537895,0.289007984,0.00446452,0.02032612,0.587663481
28/10/18 03:00,0.089378693,0.291754899,0.004587973,0.02216241,0.592116026
28/10/18 04:00,0.08991322,0.290331201,0.004457585,0.021110517,0.594187478
28/10/18 05:00,0.089097167,0.290302673,0.004577601,0.019674372,0.596348187
28/10/18 06:00,0.100960149,0.288315348,0.004408661,0.017221627,0.589094215
28/10/18 07:00,0.105074571,0.278439595,0.00448947,0.01853478,0.593461584
28/10/18 08:00,0.099743567,0.293124279,0.004414321,0.020738586,0.581979247
28/10/18 09:00,0.100342641,0.286644926,0.004541271,0.019343734,0.589127428
28/10/18 10:00,0.104832613,0.292639966,0.004434678,0.017035783,0.58105696
28/10/18 11:00,0.102694389,0.29941146,0.00457864,0.018973921,0.574341591
28/10/18 12:00,0.097511931,0.302434631,0.004503295,0.019073,0.576477143
28/10/18 13:00,0.09903049,0.290437351,0.004579511,0.020391986,0.585560662
28/10/18 14:00,0.089192297,0.297053937,0.004586085,0.023224053,0.585943628
28/10/18 15:00,0.081664803,0.298564434,0.004637485,0.027645278,0.587488
28/10/18 16:00,0.083820292,0.321486451,0.004651103,0.020377201,0.569664953
28/10/18 17:00,0.097746317,0.299726868,0.004466513,0.020658727,0.577401575
28/10/18 18:00,0.092010133,0.296302373,0.004537468,0.021708945,0.585441081
28/10/18 19:00,0.089232113,0.288954964,0.004486337,0.024972799,0.592353787
28/10/18 20:00,0.088826965,0.290146364,0.004557911,0.026656403,0.589812357
28/10/18 21:00,0.092023984,0.301361638,0.004475033,0.025478664,0.576660681
28/10/18 22:00,0.094626718,0.290551219,0.004513041,0.025081359,0.585227663
28/10/18 23:00,0.0913082,0.294725191,0.004444781,0.023758048,0.585763779
29/10/18 00:00,0.091986094,0.292803341,0.004510958,0.024121162,0.586578445
29/10/18 01:00,0.092448212,0.304926487,0.004435604,0.024129054,0.574060644
29/10/18 02:00,0.095537405,0.296871735,0.004457772,0.022574172,0.580558917
29/10/18 03:00,0.092821967,0.291387388,0.004438379,0.026000624,0.585351642
29/10/18 04:00,0.089606545,0.287148441,0.00447165,0.025267508,0.593505855
29/10/18 05:00,0.09068675,0.291046067,0.004410441,0.024232076,0.589624666
29/10/18 06:00,0.088320189,0.280301289,0.004453538,0.021544262,0.605380723
29/10/18 07:00,0.085747983,0.294326689,0.004446168,0.027011057,0.588468103
29/10/18 08:00,0.084921303,0.289240464,0.004497117,0.027117603,0.594223514
29/10/18 09:00,0.08211978,0.283765943,0.004463484,0.026637548,0.603013245
29/10/18 10:00,0.083953409,0.29114519,0.004498915,0.023814123,0.596588364
29/10/18 11:00,0.086669018,0.288785726,0.004465009,0.027062362,0.593017885
31/10/18 20:00,0.092282412,0.261569038,0.004364939,0.021582648,0.620200962
31/10/18 21:00,0.091359275,0.273983417,0.004319139,0.022110955,0.608227215
31/10/18 22:00,0.09195038,0.275626617,0.004791539,0.020731557,0.606899907
31/10/18 23:00,0.095620249,0.25870673,0.004013077,0.022832131,0.618827812
1/11/2018 0:00,0.100645623,0.249422939,0.004283023,0.020434689,0.625213726
1/11/2018 1:00,0.090145845,0.251715985,0.004098597,0.025017187,0.629022385
1/11/2018 2:00,0.087809511,0.258789762,0.004321672,0.024809591,0.624269465
1/11/2018 3:00,0.097087259,0.261061209,0.004312947,0.021971897,0.615566688
1/11/2018 4:00,0.101614318,0.269144275,0.004408205,0.020198297,0.604634905
1/11/2018 5:00,0.093436993,0.274485868,0.004085497,0.024862555,0.603129087
1/11/2018 6:00,0.097766393,0.270130491,0.004362354,0.024025189,0.603715573
1/11/2018 7:00,0.097578839,0.271581617,0.004343281,0.021253281,0.605242983
1/11/2018 8:00,0.089071844,0.280663642,0.004578421,0.026222954,0.599463139
1/11/2018 9:00,0.092450605,0.257987916,0.022769411,0.022859489,0.603932579
1/11/2018 10:00,0.090518679,0.304797738,0.004658374,0.029251725,0.570773484
1/11/2018 11:00,0.094643307,0.312789676,0.004553885,0.028596173,0.559416959
1/11/2018 12:00,0.090044745,0.32684389,0.004702511,0.024952862,0.553455992
1/11/2018 14:00,0.094393279,0.328548618,0.004658191,0.025493064,0.546906849
1/11/2018 15:00,0.092003764,0.334233037,0.004537209,0.024461984,0.544764006
1/11/2018 16:00,0.098898019,0.333866461,0.004619256,0.021301357,0.541314907
1/11/2018 17:00,0.09737803,0.331885736,0.004502117,0.022382393,0.543851724
1/11/2018 18:00,0.094718966,0.329825304,0.004633362,0.023893333,0.546929035
1/11/2018 19:00,0.096300492,0.32467708,0.00446285,0.023876929,0.550682649
1/11/2018 20:00,0.105526668,0.32206599,0.004561899,0.018873777,0.548971666
1/11/2018 21:00,0.105204942,0.326889834,0.004387601,0.019122818,0.544394804
1/11/2018 22:00,0.104201751,0.330124202,0.004540849,0.02047765,0.540655548
1/11/2018 23:00,0.104737453,0.327957453,0.00438513,0.021040383,0.541879581
2/11/2018 0:00,0.107268545,0.328575604,0.004548348,0.020113192,0.53949431
