Time,FeO,CaO,SiO2,MgO,Al2O3,MnO,P2O5,S,NiO,Cr2O3,Na2O,K2O
23/10/18 17:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 18:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 19:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 20:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 21:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 22:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 23:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 01:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 02:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 03:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 04:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 05:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 06:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 07:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 08:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 09:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 10:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 11:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 12:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 13:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 14:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 15:00,0.10,0.34,0.36,0.04,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 16:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 17:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 18:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 19:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 20:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 21:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 22:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
24/10/18 23:00,0.06,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
25/10/18 00:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 01:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 02:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 03:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 04:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 05:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 06:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 07:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 08:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 09:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 10:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 11:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 12:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 13:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 14:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 15:00,0.06,0.34,0.37,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 16:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 17:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 18:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 19:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 20:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 21:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 22:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
25/10/18 23:00,0.06,0.36,0.36,0.04,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
26/10/18 00:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 01:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 02:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 03:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 04:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 05:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 06:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 07:00,0.07,0.34,0.37,0.04,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26/10/18 08:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 09:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 10:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 11:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 12:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 13:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 14:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 15:00,0.03,0.39,0.35,0.03,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
26/10/18 16:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 17:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 18:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 19:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 20:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 21:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 22:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
26/10/18 23:00,0.04,0.38,0.35,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.01,0.00
27/10/18 00:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 01:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 02:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 03:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 04:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 05:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 06:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 07:00,0.03,0.38,0.36,0.04,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
27/10/18 08:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 09:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 10:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 11:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 12:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 13:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 14:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 15:00,0.06,0.37,0.36,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 16:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 17:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 18:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 19:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 20:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 21:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 22:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
27/10/18 23:00,0.07,0.37,0.34,0.03,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00
28/10/18 00:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 01:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 02:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 03:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 04:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 05:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 06:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 07:00,0.03,0.37,0.37,0.03,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00
28/10/18 08:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 09:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 10:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 11:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 12:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 13:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 14:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 15:00,0.03,0.40,0.35,0.03,0.16,0.02,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 16:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 17:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 18:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 19:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 20:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 21:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 22:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
28/10/18 23:00,0.02,0.40,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 00:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 01:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 02:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 03:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 04:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 05:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 06:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 07:00,0.01,0.41,0.34,0.03,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 08:00,0.02,0.39,0.34,0.04,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
29/10/18 09:00,0.02,0.39,0.34,0.04,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
